item;realizacao;correcao;valor;classe;sexo;participante;periodo
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;19F18;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;19F18;inicio
comecou;sim;nao;morfemico;verbo;feminino;19F18;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;19F18;inicio
acompanhou;nao;nao;morfemico;verbo;feminino;19F18;inicio
mostrou;nao;nao;morfemico;verbo;feminino;19F18;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;19F18;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;19F18;inicio
beijo;nao;nao;nao morfemico;nao verbo;feminino;19F18;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;19F18;inicio
ouviu;nao;nao;morfemico;verbo;feminino;21F25;final
poupava;sim;nao;morfemico;verbo;feminino;21F25;final
entrou;nao;nao;morfemico;verbo;feminino;21F25;final
pouco;nao;nao;nao morfemico;nao verbo;feminino;21F25;final
passageira;nao;nao;nao morfemico;nao verbo;feminino;21F25;final
beijava;nao;nao;morfemico;verbo;feminino;21F25;final
apaixonadamente;sim;nao;nao morfemico;nao verbo;feminino;21F25;final
deitado;sim;nao;nao morfemico;nao verbo;feminino;21F25;final
comecou;nao;nao;morfemico;verbo;feminino;21F25;final
primeira;nao;nao;nao morfemico;nao verbo;feminino;21F25;final
acompanhou;nao;nao;morfemico;verbo;feminino;21F25;final
mostrou;nao;nao;morfemico;verbo;feminino;21F25;final
deitados;sim;nao;morfemico;nao verbo;feminino;21F25;final
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;21F25;final
beijo;sim;nao;nao morfemico;nao verbo;feminino;21F25;final
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;21F25;final
ouviu;nao;nao;morfemico;verbo;feminino;22F19;inicio
poupava;sim;nao;morfemico;verbo;feminino;22F19;inicio
entrou;nao;nao;morfemico;verbo;feminino;22F19;inicio
pouco;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
passageira;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
beijava;nao;nao;morfemico;verbo;feminino;22F19;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
deitado;sim;nao;nao morfemico;nao verbo;feminino;22F19;inicio
comecou;nao;nao;morfemico;verbo;feminino;22F19;inicio
primeira;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
acompanhou;nao;nao;morfemico;verbo;feminino;22F19;inicio
mostrou;nao;nao;morfemico;verbo;feminino;22F19;inicio
deitados;sim;nao;morfemico;nao verbo;feminino;22F19;inicio
revolucionario;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
beijo;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;22F19;inicio
ouviu;nao;nao;morfemico;verbo;masculino;25M19;inicio
poupava;sim;sim;morfemico;verbo;masculino;25M19;inicio
entrou;nao;nao;morfemico;verbo;masculino;25M19;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;25M19;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;25M19;inicio
beijava;nao;nao;morfemico;verbo;masculino;25M19;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;25M19;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;25M19;inicio
comecou;nao;nao;morfemico;verbo;masculino;25M19;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;25M19;inicio
acompanhou;nao;nao;morfemico;verbo;masculino;25M19;inicio
mostrou;nao;nao;morfemico;verbo;masculino;25M19;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;25M19;inicio
revolucionario;nao;sim;nao morfemico;nao verbo;masculino;25M19;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;25M19;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;25M19;inicio
ouviu;sim;nao;morfemico;verbo;feminino;26F19;final
poupava;sim;nao;morfemico;verbo;feminino;26F19;final
entrou;nao;nao;morfemico;verbo;feminino;26F19;final
pouco;nao;nao;nao morfemico;nao verbo;feminino;26F19;final
passageira;nao;nao;nao morfemico;nao verbo;feminino;26F19;final
beijava;sim;nao;morfemico;verbo;feminino;26F19;final
apaixonadamente;nao;nao;nao morfemico;nao verbo;feminino;26F19;final
deitado;sim;nao;nao morfemico;nao verbo;feminino;26F19;final
comecou;nao;nao;morfemico;verbo;feminino;26F19;final
primeira;nao;nao;nao morfemico;nao verbo;feminino;26F19;final
acompanhou;nao;nao;morfemico;verbo;feminino;26F19;final
mostrou;nao;nao;morfemico;verbo;feminino;26F19;final
deitados;sim;nao;morfemico;nao verbo;feminino;26F19;final
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;26F19;final
beijo;sim;nao;nao morfemico;nao verbo;feminino;26F19;final
dinheiro;nao;nao;nao morfemico;nao verbo;feminino;26F19;final
ouviu;sim;nao;morfemico;verbo;masculino;27M23;final
poupava;sim;nao;morfemico;verbo;masculino;27M23;final
entrou;sim;nao;morfemico;verbo;masculino;27M23;final
pouco;nao;nao;nao morfemico;nao verbo;masculino;27M23;final
passageira;nao;nao;nao morfemico;nao verbo;masculino;27M23;final
beijava;nao;nao;morfemico;verbo;masculino;27M23;final
apaixonadamente;sim;nao;nao morfemico;nao verbo;masculino;27M23;final
deitado;sim;nao;nao morfemico;nao verbo;masculino;27M23;final
comecou;nao;nao;morfemico;verbo;masculino;27M23;final
primeira;nao;nao;nao morfemico;nao verbo;masculino;27M23;final
acompanhou;sim;nao;morfemico;verbo;masculino;27M23;final
mostrou;sim;nao;morfemico;verbo;masculino;27M23;final
deitados;sim;nao;morfemico;nao verbo;masculino;27M23;final
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;27M23;final
beijo;sim;nao;nao morfemico;nao verbo;masculino;27M23;final
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;27M23;final
ouviu;nao;nao;morfemico;verbo;feminino;31F23;final
poupava;nao;sim;morfemico;verbo;feminino;31F23;final
entrou;nao;nao;morfemico;verbo;feminino;31F23;final
pouco;nao;nao;nao morfemico;nao verbo;feminino;31F23;final
passageira;nao;nao;nao morfemico;nao verbo;feminino;31F23;final
beijava;nao;nao;morfemico;verbo;feminino;31F23;final
apaixonadamente;sim;sim;nao morfemico;nao verbo;feminino;31F23;final
deitado;sim;nao;nao morfemico;nao verbo;feminino;31F23;final
comecou;nao;nao;morfemico;verbo;feminino;31F23;final
primeira;nao;nao;nao morfemico;nao verbo;feminino;31F23;final
acompanhou;sim;nao;morfemico;verbo;feminino;31F23;final
mostrou;sim;nao;morfemico;verbo;feminino;31F23;final
deitados;sim;nao;morfemico;nao verbo;feminino;31F23;final
revolucionario;sim;nao;nao morfemico;nao verbo;feminino;31F23;final
